Report Month,All Staff,Not Eligible for Telework,Telework Eligible,Eligible - Not Teleworking,Office Centered,Remote Centered
2021-10,166520,96779,69741,8681,8687,52373
2021-11,166405,96323,70082,8761,8912,52409
2021-12,166193,95952,70241,8829,8857,52555
2022-01,175665,94705,80960,9286,9331,62343
2022-02,175330,93952,81378,9347,9637,62394
2022-03,175357,95090,80267,7827,9934,62506
2022-04,196696,106861,89835,8425,11103,70307
2022-05,197152,104742,92410,6776,12613,73021
2022-06,190641,103404,87237,6233,11785,69219
2022-07,190394,102816,87578,6425,11768,69385
2022-08,194010,98804,95206,7618,13574,74014
2022-09,203315,103218,100097,7731,14005,78361
2022-10,209985,109215,100770,8725,14773,77272
2022-11,210654,110498,100156,8527,14887,76742
2022-12,214129,108957,105172,8889,17063,79220
2023-01,211112,104435,106677,8960,17525,80192
2023-02,210140,103196,106944,11020,17001,78923
2023-03,209658,103447,106211,9129,17681,79401
2023-04,211312,106090,105222,8248,17921,79053
2023-05,211689,106390,105299,8307,18103,78889
2023-06,213079,105907,107172,8716,18643,79813
2023-07,215090,106916,108174,8139,19100,80935
2023-08,212850,106089,106761,8904,19146,78711
2023-09,214130,105464,108666,8327,19523,80816
2023-10,211793,104195,107598,7969,19299,80330
2023-11,210937,103675,107262,7748,19048,80466
2023-12,200550,100692,99858,6901,18484,74473
